GameID,Title,Developer,Publisher,ReleaseYear,Genre,Platform,ESRBRating,PriceUSD,MetacriticScore,Multiplayer,SinglePlayer,DownloadSizeGB
1,The Witcher 3: Wild Hunt,CD Projekt Red,CD Projekt,2015,Action RPG,PC,M,39.99,93,No,Yes,50
2,Red Dead Redemption 2,Rockstar Studios,Rockstar Games,2018,Action Adventure,PC,M,59.99,97,Yes,Yes,120
3,Elden Ring,FromSoftware,Bandai Namco Entertainment,2022,Action RPG,PC,M,59.99,96,Yes,Yes,60
4,Grand Theft Auto V,Rockstar North,Rockstar Games,2013,Action Adventure,PC,M,29.99,96,Yes,Yes,95
5,Minecraft,Mojang Studios,Xbox Game Studios,2011,Sandbox,PC,E10+,29.99,93,Yes,Yes,2
6,Fortnite,Epic Games,Epic Games,2017,Battle Royale,PC,T,0.00,81,Yes,Yes,30
7,The Legend of Zelda: Breath of the Wild,Nintendo EPD,Nintendo,2017,Action Adventure,Nintendo Switch,E10+,59.99,97,No,Yes,14
8,Call of Duty: Modern Warfare II,Infinity Ward,Activision,2022,First-Person Shooter,PC,M,69.99,78,Yes,Yes,125
9,God of War (2018),Santa Monica Studio,Sony Interactive Entertainment,2018,Action Adventure,PlayStation 4,M,49.99,94,No,Yes,45
10,Overwatch,Blizzard Entertainment,Blizzard Entertainment,2016,Hero Shooter,PC,T,39.99,91,Yes,No,30
11,Stardew Valley,ConcernedApe,ConcernedApe,2016,Simulation RPG,PC,E10+,14.99,89,Yes,Yes,1
12,Cyberpunk 2077,CD Projekt Red,CD Projekt,2020,Action RPG,PC,M,59.99,86,No,Yes,70
13,Apex Legends,Respawn Entertainment,Electronic Arts,2019,Battle Royale,PC,T,0.00,88,Yes,No,60
14,Dark Souls III,FromSoftware,Bandai Namco Entertainment,2016,Action RPG,PC,M,59.99,89,Yes,Yes,25
15,Hades,Supergiant Games,Supergiant Games,2020,Roguelike,PC,T,24.99,93,No,Yes,15
pokemon,Pokemon Ultra Sun,Game Freak,Nintendo,2017,RPG,Nintendo 3DS,E,59.99,84,Yes,Yes,3.6
